teamname,playername,dateupdated,plink,tdate,tweet,polarity,subjectivity,approval,numrt,numfav
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/itsbilbo35/status/1265432386952667143,2020-05-26 23:59:26+00:00,"Oh boy I have so much to teach you, clear an afternoon (Joe Thornton is real and is magical)",0.25,0.471,0.132,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/JacobRoddam/status/1265431628291215360,2020-05-26 23:56:25+00:00,I actually don’t know if joe Thornton is a real person I may have made that up,0.1,0.2,0.08,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/JacobRoddam/status/1265431558393036801,2020-05-26 23:56:08+00:00,"Who should I root for? All I know is Conor mcdavid, Sydney Crosby, Alex ovechkin, Patrick Kane, and joe Thornton are players",0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265430007725412353,2020-05-26 23:49:59+00:00,"Me, illy just grab him by the seat of his pants and March his ass out. Haha I wish. But I do know you can't pull him out by his hair.",0.2,0.3,0.14,0,6
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/FrazierMichael7/status/1265418118823731200,2020-05-26 23:02:44+00:00,"Not gonna lie, first glance I thought this was Joe Thornton.",0.25,0.333,0.167,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/Sheng_Peng/status/1265416158833856514,2020-05-26 22:54:57+00:00,"Doug Wilson says he talks a lot with Joe Thornton, every few days or so, but won't say anything more about Jumbo's potential return to #SJSharks next year",0.075,0.4,0.045,1,7
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/Joe__Thornton/status/1265416101162299409,2020-05-26 22:54:43+00:00,When they get arrested we need the whole perp walk guns drawn..these are dangerous individuals to murder someone like that on film..if they resist shoot them like they would one of us.,-0.2,0.65,-0.07,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/_thrilliam/status/1265414655595315200,2020-05-26 22:48:58+00:00,inb4 Leafs sign Joe Thornton to league min to get him his Cup in September.,0.0,0.0,0.0,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/nhlshitpost/status/1265410389765996544,2020-05-26 22:32:01+00:00,"According to himself, Joe Thornton is a big smart genius.",0.107,0.371,0.067,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265401181893001216,2020-05-26 21:55:26+00:00,Thank you for pointing it out. I deleted my response.,0.0,0.0,0.0,0,2
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265400639355568129,2020-05-26 21:53:17+00:00,And counterfeit Scott Tissues that require 15 flushes.,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/_AintHavinIt/status/1265394516741124096,2020-05-26 21:28:57+00:00,Really really really hope Joe Thornton hasn’t played his last game in teal. #SJSharks,-0.067,0.222,-0.052,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/ljohnston29/status/1265391270307999744,2020-05-26 21:16:03+00:00,"Joe Thornton cut his beard &amp; pasted it onto Elliotte Friedman, right?",0.286,0.536,0.133,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/ThePeerless/status/1265389600283000835,2020-05-26 21:09:25+00:00,Elliotte Friedman is rocking the COVID/Playoff beard. Joe Thornton would approve.,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/GlennGiangrande/status/1265383693440421890,2020-05-26 20:45:56+00:00,Fun fact: that was also Joe Thornton's rookie season with Boston.,0.3,0.2,0.24,0,3
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/slimysnake68/status/1265369355048505344,2020-05-26 19:48:58+00:00,San Jose Sharks UFAs: likely to Joe Thornton Melker Karlsson Stefan Noesen Lukas Radil Jonny Brodzinski Anthony Greco Tim Heed Dalton Prout Brandon Davidson Aaron Dell https://www.capfriendly.com/depth-charts/sharks,0.0,1.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/EsportaWash/status/1265360848517763075,2020-05-26 19:15:10+00:00,"The Esporta Wash System is trusted by Walter Gretzky, Joe Thornton and the USA Hockey National Team Development Program for a reason: it ensures sports equipment is food grade clean, every time. ",0.367,0.7,0.11,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/stefen_rosner/status/1265357563127881728,2020-05-26 19:02:06+00:00,Mr. Friedman with the playoff beard. Looking like Joe Thornton. Could even be him. Who knows anymore.,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/Joe__Thornton/status/1265347509179875329,2020-05-26 18:22:09+00:00,"This is murder..the cop had him secured, the death penalty for forgery, fuck come on..do better #ICantBreathe",0.05,0.55,0.022,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/CF_DepthCharts/status/1265343358358061056,2020-05-26 18:05:40+00:00,San Jose Sharks UFAs: Joe Thornton Melker Karlsson Stefan Noesen Lukas Radil Jonny Brodzinski Anthony Greco Tim Heed Dalton Prout Brandon Davidson Aaron Dell https://www.capfriendly.com/depth-charts/sharks,0.0,0.0,0.0,2,6
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/DaveWeAreLAHC/status/1265342462161154048,2020-05-26 18:02:06+00:00,Not happening. Joe Thornton style,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265337778495279104,2020-05-26 17:43:29+00:00,Its an empty apology without removing it. Is Twitter as disgusting as Trump. Boycott Twitter's sponsors?,-0.55,0.75,-0.138,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265334088854052864,2020-05-26 17:28:50+00:00,Boycott Twitter sponsors.,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/AvneetBrar/status/1265315372137213959,2020-05-26 16:14:27+00:00,. @michaelgrange is about to go FULL Joe Thornton and we're here for it. ,0.35,0.55,0.157,0,2
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/whiskeywhits/status/1265284813344272392,2020-05-26 14:13:02+00:00,F:Jaromir Jagr F:Joe Thornton F:Jari Kurri D:Jeff Beukeboom D:John Carlson G:Jonathon Quick ,0.333,0.5,0.167,0,4
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/randomhero79/status/1265275108181946369,2020-05-26 13:34:28+00:00,Well since it’s my B-day today let’s give it a go Joe Thornton Patrick Marleau Marian Hossa Brian Campbell Eric Brewer Roberto Luongo ,0.0,0.0,0.0,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/nhlshitpost/status/1265261922225618944,2020-05-26 12:42:04+00:00,Brayden Point got in an argument with Joe Thornton over who's hotter. It's obviously Clayton Keller.,0.0,0.5,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265258176716386306,2020-05-26 12:27:11+00:00,And arguably why he should be confronted.,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265256090360590336,2020-05-26 12:18:53+00:00,"Yes, I thought that too. The husband is the one who wrote to the president of Twitter. I'm with him. However, isn't it a brave thing for him to ask and have it go viral. Shouldn't we think of it a bullying like it is.",0.8,1.0,0.0,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/DalrympleChris/status/1265250648846512129,2020-05-26 11:57:16+00:00,C - Joe Thornton LW - Patrick Marleau RW - Marion Hossa D - Brian Campbell D - Brad Stuart G - Roberto Luongo,0.0,0.0,0.0,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265244436012969984,2020-05-26 11:32:35+00:00,"Hey Brit, your President is the one who looks stupid without a mask. You would look much better too!",-0.087,0.75,-0.022,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265243700369776640,2020-05-26 11:29:39+00:00,It's a very good point considering what Florida's is reporting.,0.91,0.78,0.2,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/joey_thornton/status/1265243651661352962,2020-05-26 11:29:28+00:00,@Cjonno94,0.0,0.0,0.0,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265243292138119169,2020-05-26 11:28:02+00:00,"This should go viral. Lori's husband wrote to Twitter asking them to remove Trump and Trump Jr's. Tweets. Once again, it's a mean vicious attack that her family does not deserve. Twitter do the right thing and delete these posts. It would have been done if it was anyone else.",-0.342,0.741,-0.089,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265241493293404160,2020-05-26 11:20:53+00:00,"Oh yes, he went to church this weekend. No wait he did not. It was tee time!",0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265234339756990466,2020-05-26 10:52:28+00:00,"Wearing a mask is giving up your freedom. So many conservatives want to protest this policy, a Trump Administration policy I personally think it's my duty to wear a mask. It makes sense to protect people and it's temporary. What's wrong with these conservatives?",0.0,0.567,0.0,0,2
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265231201209651203,2020-05-26 10:39:59+00:00,"100,000 families say different.",0.0,0.6,0.0,0,2
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265215708696379392,2020-05-26 09:38:26+00:00,"I have a much different approach but just as patriotic - it's your duty to stay safe, and keep your family, friends, co-workers, all safe. A fucking duty to wear a mask has nothing whatsoever to do with giving up your rights.",0.1,0.6,0.04,0,9
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265214816857346048,2020-05-26 09:34:53+00:00,"I'm embarrassed that a professional would Tweet something so shallow. 100,000 Brit 100,000",-0.117,0.3,-0.082,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/NoelThornton/status/1265202265712988160,2020-05-26 08:45:01+00:00,sexy minx Miran ,0.5,1.0,0.0,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/nhlshitpost/status/1265191172860977152,2020-05-26 08:00:56+00:00,"Oh, Joe Thornton...",0.0,0.0,0.0,1,2
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/Hardballnp/status/1265144422582403072,2020-05-26 04:55:10+00:00,She's been in the U.S. for a while. You would think she'd be used to black men by now. There aren't many in that area of Canada.,0.167,0.467,0.089,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/Joe__Thornton/status/1265143226824081409,2020-05-26 04:50:25+00:00,She's Canadian for one.. she's from a little town called Waterloo,-0.188,0.5,-0.094,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/StatsCentre/status/1265133989175734272,2020-05-26 04:13:42+00:00,"4 yrs ago today (May 25), the @SanJoseSharks beat the Blues 5-2 to take the 2016 Western Conf Championship in 6 as the 2478 regular season games between Patrick Marleau (1411) &amp; Joe Thornton (1347) become the most combined between teammates each making a SC Final for the 1st time ",0.125,0.394,0.076,2,7
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/RealJoeThornton/status/1265124010205106181,2020-05-26 03:34:03+00:00,It must first be excepted and past by most of our representatives that serve and that rule in a federal republic fashion. And I won’t pat you on the head because I don’t have any need to belittle you nor any desire.,0.167,0.361,0.106,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/RealJoeThornton/status/1265123308237926400,2020-05-26 03:31:16+00:00,"if we are going in to technical, like you chose to, we live in a democratic representative federalist republic. Having read the constitution and knowing that it requires 2/3 of the house and the senate to pass plus 3/4 of the states to ratify it to pass a amendment.",0.068,0.3,0.048,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/RealJoeThornton/status/1265110847304667136,2020-05-26 02:41:45+00:00,I know you don’t seem to agree with this but @AOC we don’t live in a democracy. In fact we never have.,0.136,0.5,0.068,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/RealJoeThornton/status/1265109892999843841,2020-05-26 02:37:57+00:00,I hope that every American was able to celebrate the men and women of our country who gave their last full measure of devotion. I hope every American shot off a 21 gun salute to our fallen heroes #AlwaysRemember @NRA,0.17,0.248,0.128,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/lpavss/status/1265107484743614464,2020-05-26 02:28:23+00:00,about to reply to a youtube joe thornton hate comment that was posted 8 years ago i’m losing my fucking mind,-0.7,0.85,-0.105,0,25
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/Joe__Thornton/status/1265098439806812163,2020-05-26 01:52:27+00:00,@FTI_US how is #AmyCooper still employed...I'm taking it that you encourage this behavior by your silence.,0.0,0.0,0.0,0,0
